Date received,Product,Sub-product,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Company response to consumer,Timely response?,Consumer disputed?
3/12/2014,Mortgage,Other mortgage,,,M&T BANK CORPORATION,MI,48382,Referral,Closed with explanation,Yes,No
1/19/2017,Student loan,Federal student loan servicing,When my loan was switched over to Navient i was never told that i had a deliquint balance because with XXXX i did not. When going to purchase a vehicle i discovered my credit score had been dropped from the XXXX into the XXXX. I have been faithful at paying my student loan. I was told that Navient was the company i had delinquency with. I contacted Navient to resolve this issue you and kept being told to just contact the credit bureaus and expalin the situation and maybe they could help me. I was so angry that i just hurried and paid the balance off and then after tried to dispute the delinquency with the credit bureaus. I have had so much trouble bringing my credit score back up.,,"Navient Solutions, LLC.",LA,,Web,Closed with explanation,Yes,No
4/6/2018,Credit card or prepaid card,General-purpose credit card or charge card,I tried to sign up for a spending monitoring program and Capital One will not let me access my account through them,,CAPITAL ONE FINANCIAL CORPORATION,VA,,Web,Closed with explanation,Yes,N/A
6/8/2014,Credit card,,,,AMERICAN EXPRESS COMPANY,ID,83854,Web,Closed with explanation,Yes,Yes
9/13/2014,Debt collection,Credit card,,,"CITIBANK, N.A.",VA,23233,Web,Closed with explanation,Yes,Yes
11/13/2013,Mortgage,Conventional adjustable mortgage (ARM),,,U.S. BANCORP,MN,48322,Phone,Closed with monetary relief,Yes,No
6/16/2015,Debt collection,Medical,,Company believes it acted appropriately as authorized by contract or law,California Accounts Service,CA,92111,Web,Closed with explanation,Yes,No
8/22/2018,Mortgage,Conventional home mortgage,"My mortgage is with BB & T Bank, recently I have been investigating ways to pay down my mortgage faster and I came across Biweekly Mortgage Calculator on BB & T 's website. It's a nice, easy to use calculator that you plug in your interest rate, mortgage amount, mortgage term, and payment type and it calculates your accelerated bi-weekly payment for you and shows you how much quicker you can pay down your loan. Ours figured out to pay off a 30 year mortgage in 26.4 years ... quite a savings! 
I called BB & T 's customer service number to inquire how I get set up on this payment plan. I was told they do not offer that type of payment plan, but I could send in my payments bi-weekly but it would not be applied until the full amount was received. ( the money would sit in a "" holding account '' until the full payment amount was collected ). I ended up calling back a few days later thinking the rep I was talking to didn't understand what I wanted to do or was not knowledgeable of this program. I got the SAME ANSWER! 
I then asked for the corporate BB & T office number where I could speak to someone that was knowledgeable of this product. After 3 days I received a phone call back from a corporate manager stating they do not offer this product, and they were "" checking into why this is on their website ''. She stated they do have a few customers that make bi-weekly payments, but they no longer offer this service. 
I don't understand how they can have this active link on their website under their Financial Planning Center tab to mislead customers when all they say is "" I'm sorry, I know you're upset about this '' Sounds like false advertising to me! 
https : //www.bbt.com/XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BB&T CORPORATION,IN,,Web,Closed with explanation,Yes,N/A
11/13/2015,Mortgage,Other mortgage,,Company believes it acted appropriately as authorized by contract or law,"Aldridge Pite, LLP",CA,93101,Referral,Closed with explanation,Yes,Yes
10/21/2014,Mortgage,Conventional fixed mortgage,,,OCWEN LOAN SERVICING LLC,FL,32714,Web,Closed with explanation,Yes,No
4/14/2017,Mortgage,Other mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,90305,Referral,Closed with explanation,Yes,No
3/30/2012,Student loan,Non-federal student loan,,,Student Loan Finance Corporation,MN,55428,Web,Closed with explanation,Yes,No
1/7/2015,Credit reporting,,,,Experian Information Solutions Inc.,NV,89169,Referral,Closed with explanation,Yes,Yes
11/14/2016,Mortgage,Conventional fixed mortgage,"The entire lending experience with Citizens Bank was terrible. The lender kept pushing a XXXX ARM, which we had considered initially but decided to go with a 30yr fixed. When we received the closing disclosure, it was a XXXX ARM, we immediately requested that it be corrected to the 30yr fixed we decided upon but they kept delaying and saying it was changed but would n't send it to us. They waited until the next day and then tried to convince us to waive our rights so it would n't push the closing date due to the 3 day clock reset. This seemed very intentional, like it was something they often do, because they sent us an email instructing us to draft a letter : -- -- From the loan officer : I have outlined the basis of the letter in this email. Please elaborate on why you wanted the product changed and make sure to include your contact information at the bottom as they will need this. 
"" To Whom it may concern, This letter is to waive my right to review the new Closing Disclosure 3 business days prior to closing. I must close on the property at ( property address ) or I face financial hardship in the form of losing my Earnest Money Deposit and property falling through. I must close on this property on XXXX. There is substantial expense associated with my drive and move to ( property address ) and require this property so I may begin ( new job ) on time. 

In addition this letter is to address the change in rate and product. This was done at my request, I requested a 30 year fixed rate loan that increased my rate to ( % ) and increased my APR. I decided that the 30 Year Fixed was a safe option to avoid the market causing my ARM rate to increase. I felt as though the difference in payment monthly was worth the security of having a fixed rate and knowing the rate could not increase. I am fully aware that the rate and APR increased and am fully aware of the difference in monthly payment however I still wish to go with the 30 Year Fixed and need to close on XXXX. 

My contact information is below and should anyone have any questions please do not hesitate to reach out to me. I look forward to closing my loan. '' Please make sure to physically sign and date this at the bottom and send back so we can close on time. Thanks -- -- We responded with this : "" We do n't feel comfortable moving forward by waving our rights to review a closing disclosure. We would like to receive the corrected closing disclosure for the 30yr fixed including the corrected deposit amount and we understand that this will reset the clock. We would really appreciate it if this could be done tonight since our closing date has already been pushed more than expected. "" They finally sent us the correct closing disclosure. 

On several occasions we asked about having to open a checking account and were told we would have the opportunity to later if we desired but there would be no discount for having an account. We decided we did n't need one, during closing we set up our mortgage payments to come directly out of our primary bank account with another institution. 

On XXXX XXXX we received an email stating a form was to be signed that was forgotten during closing. The form was dated XXXX XXXX and was an ACH for a direct debit of the mortgage payment from a bank account with Citizens Bank. We said we were not going to sign it, we had already set up payments from our bank and signed an ACH form, and this form was not "" forgotten '' at closing. The form had an account number on it, we asked how they could have an account number if we do n't even have a Citizens bank account ... .It turns out they opened checking, savings and credit line accounts in my husband 's name without our authorization, they even charged the credit line for the opening deposit into the checking account all without any authorization or signatures! We are still fighting to get them properly closed.",,"CITIZENS FINANCIAL GROUP, INC.",NY,12054,Web,Closed with explanation,Yes,No
4/17/2017,Credit reporting,,My credit score has gone down XXXX points in the last month - from the XXXX 's to the XXXX 's. I requested and reviewed reports from all XXXX credit reporting agencies and I can not find a significant reason for the significant decrease in my score. Please help me.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,32461,Web,Closed with explanation,Yes,No
7/18/2016,Credit reporting,,,,"EQUIFAX, INC.",FL,33629,Fax,Closed with explanation,Yes,No
8/23/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,"I few months back I contacted XXXX  in regards to fraudulent accounts one being XXXX XXXX. I sent in the necessary documents affidavit, police report. They removed the account now the account has appeared back on my report under XXXX  XXXX and XXXX allowed that. Dropping my score tremendously",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,301XX,Web,Closed with non-monetary relief,Yes,N/A
11/7/2014,Mortgage,Conventional fixed mortgage,,,U.S. BANCORP,MT,59801,Web,Closed with explanation,Yes,No
4/17/2015,Mortgage,FHA mortgage,,,WELLS FARGO & COMPANY,ME,4032,Web,Closed with explanation,Yes,No
3/9/2016,Credit reporting,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92703,Phone,Closed with explanation,Yes,No
2/4/2015,Debt collection,Mortgage,,,PHH Mortgage Services Corporation,CA,92021,Web,Closed with explanation,Yes,Yes
3/17/2017,Bank account or service,Checking account,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,WI,54005,Referral,Closed with explanation,Yes,No
3/8/2012,Mortgage,Other mortgage,,,Ditech Financial LLC,CA,95361,Web,Closed without relief,Yes,No
3/27/2013,Mortgage,Conventional fixed mortgage,,,NATIONSTAR MORTGAGE,WA,98203,Web,Closed with explanation,Yes,No
2/25/2014,Debt collection,"Other (i.e. phone, health club, etc.)",,,"Navient Solutions, LLC.",RI,2906,Web,Closed with explanation,Yes,Yes
2/19/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,"I '' m a victim of fraud and I have a file with the Federal Trade Commission. While preparing to check my credit for incorrect information, I have noticed there are six inquires that I have no knowledge of nor do I have or ever had any accounts opened with the companies, please will you help me in solving these issues? 

1.XXXX/XXXX ... .National Credit Cards/Airlines 4.XXXX XXXX .... 
inquiry date : XXXX inquiry date : XXXX 2.XXXX/XXXX .... 5. XXXX XXXX .... 
inquiry date : XX/XX/XXXX inquiry date : XXXX 3.XXXX .... 6.  XXXX XXXX ... 
inquiry date : XX/XX/XXXX inquiry date : XX/XX/XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,334XX,Web,Closed with non-monetary relief,Yes,N/A
8/28/2018,Student loan,Federal student loan servicing,,,"Navient Solutions, LLC.",OH,,Web,Closed with explanation,Yes,N/A
8/28/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,32256,Web,Closed with non-monetary relief,Yes,N/A
7/18/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,I have been disputing a Bankruptcy on my credit report i have written to the bureau for the past 3 years i call them on the phone 2 dozen times i wrote to the XXXX district Court about a Bankruptcy that both Experian and XXXX  have been reporting in Accurately on my Bureau the court sent me a letter indicating that they DID NOT AND DO NOT report to any Credit Bureaus i sent these letters to the Bureaus and they say that they have verify this as a accurate item reported by the court so I went to the XXXX District court with my ID and they said to me that we don't have a BANKRUPTCY in my name they then told me that the Bureau gets this information from XXXX XXXX i contacted them by phone and in writing they have never responded by phone or mail so i sent a letter to the Bureau explaining that they show me their Method of Verification they responded that the info was verified by XXXX XXXX i asked them then why isn't XXXX XXXX showing on my credit report they said that i should contact them bottom line is they don't give a XXXX about me and my credit and how this effects my life so i have spoken with a attorney he said that i should fit a complaint with you so i am complain that these Bureaus are ignoring the Fair Credit act and have no fear of your organization the attorney general or the federal Trade commission so I am asking for your help in this matter if they have verified this then i have a right to know who they verified this information with NAME EMAIL PHONE NUMBER etc.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,752XX,Web,Closed with explanation,Yes,N/A
9/17/2014,Credit card,,,,WELLS FARGO & COMPANY,OH,43062,Web,Closed with explanation,Yes,No
8/26/2018,"Money transfer, virtual currency, or money service",International money transfer,,,RIA FINANCIAL,IL,606XX,Web,In progress,Yes,N/A
6/24/2015,Bank account or service,Other bank product/service,,Company chooses not to provide a public response,ALLY FINANCIAL INC.,CA,95205,Referral,Closed with explanation,Yes,No
3/31/2017,Mortgage,Conventional adjustable mortgage (ARM),,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92026,Web,Closed with explanation,Yes,No
9/19/2013,Mortgage,FHA mortgage,,,OCWEN LOAN SERVICING LLC,TX,75904,Web,Closed with explanation,Yes,Yes
3/23/2016,Credit reporting,,,,"EQUIFAX, INC.",MD,21224,Referral,Closed with explanation,Yes,No
7/11/2014,Credit reporting,,,,"EQUIFAX, INC.",SC,29673,Web,Closed with explanation,Yes,Yes
6/19/2012,Student loan,Non-federal student loan,,,"Navient Solutions, LLC.",CO,80214,Web,Closed with monetary relief,Yes,No
8/23/2018,Debt collection,I do not know,,,"RFNA, LP",SC,,Web,Closed with explanation,Yes,N/A
